GeneID	GSM6745638	GSM6745639	GSM6745640	GSM6745641	GSM6745642	GSM6745643
100287102	12	11	15	7	16	6
653635	790	563	804	719	1007	461
102466751	24	22	28	30	49	23
107985730	2	1	2	3	3	1
100302278	1	0	0	0	2	0
645520	0	0	1	0	0	0
79501	0	0	0	0	0	0
100996442	46	29	53	41	58	22
729737	197	136	1190	137	209	79
102725121	17	7	17	12	18	8
102723897	727	517	752	581	850	431
102465909	9	7	9	11	14	8
107985721	5	4	6	4	8	7
112268260	14	7	13	5	10	8
729759	0	0	0	0	0	1
100132287	182	128	192	122	205	80
105378947	1	1	2	1	2	2
101928626	0	0	0	0	0	0
113219467	723	707	925	623	994	646
81399	6	6	10	5	10	4
100133331	244	174	277	189	272	119
107984841	93	48	80	70	112	30
107984847	89	49	93	70	117	39
107984849	21	12	27	27	33	14
100288069	146	115	155	125	205	61
105378580	38	16	42	28	66	17
400728	20	15	15	18	28	7
79854	24	15	26	23	51	21
643837	233	179	248	219	276	127
107984850	14	10	12	6	5	2
284593	5	4	5	0	2	1
284600	29	20	19	25	37	10
100130417	10	5	9	9	19	15
107985728	12	10	12	9	18	12
148398	176	157	178	175	208	133
26155	2755	2309	2832	2605	3150	1844
339451	308	220	312	262	464	233
84069	8	10	9	10	12	5
84808	2	1	2	3	3	1
57801	11	4	12	11	12	4
9636	470	378	558	112	175	98
375790	1455	1204	1606	1047	1397	741
100288175	37	34	43	37	35	20
112267874	44	30	36	31	59	33
105378948	65	38	53	65	81	40
401934	5	7	5	5	2	1
54991	342	274	379	317	437	227
254099	0	0	0	0	0	0
406984	0	0	0	0	0	0
406983	0	0	0	0	0	0
554210	0	0	0	0	0	0
100506376	12	5	10	4	9	7
254173	61	53	75	62	83	33
8784	251	188	248	160	216	95
7293	177	121	174	101	129	55
51150	3640	2832	3797	3264	4075	2399
126792	1149	1061	1312	1238	1464	824
388581	21	14	31	17	30	19
118424	1463	1189	1490	1419	1687	969
101928895	64	31	51	47	58	33
6339	111	73	103	86	137	76
116983	1424	1073	1538	1214	1911	936
102465434	0	0	1	0	1	0
109623456	8	5	14	5	16	10
126789	317	271	325	292	327	206
54973	2093	1608	2144	1892	2491	1443
102465435	17	16	21	9	21	7
80772	354	293	355	344	380	238
83756	25	17	29	13	49	13
1855	1133	932	1110	1055	1339	817
102466740	6	4	5	2	5	3
54587	107	95	130	94	168	55
54998	1109	938	1121	964	1217	735
81669	2406	1831	2620	2198	3101	1535
148413	646	511	595	656	732	405
55052	1017	791	1039	924	1114	633
107984868	4	4	5	2	9	3
441869	12	13	13	10	12	5
105378585	3	1	3	0	3	1
643965	5	3	11	6	8	8
102724312	24	18	26	17	25	19
107985729	15	7	19	15	18	8
64856	181	207	225	220	250	148
219293	43	37	53	38	61	41
83858	1513	1142	1583	1395	1834	1032
55210	1923	1650	2003	2032	2440	1494
339453	11	10	19	11	22	10
29101	2044	1734	2371	2174	2445	1491
643988	441	431	498	583	783	406
105378586	91	94	93	121	133	78
142678	1536	1304	1598	1288	1839	878
8510	68	55	84	63	68	40
984	2265	1680	2304	1898	2269	1355
728661	2682	2017	2826	2499	3291	1762
8511	20	20	31	18	22	11
728642	1867	1455	1899	1519	1987	1046
9906	1162	912	1294	1174	1560	772
112268218	172	136	204	166	223	112
65220	1843	1552	2013	1953	2291	1295
2782	8657	7240	9919	9191	10965	6274
105378949	15	7	25	24	50	12
163688	8	6	8	5	9	8
339456	8	6	9	4	7	7
85452	1	0	0	0	0	0
107984872	1	0	1	0	0	0
105378589	0	0	0	0	0	0
2563	1	0	3	0	1	0
105378590	0	0	0	0	0	0
105378591	0	0	0	0	0	0
5590	234	192	273	216	269	131
100506504	45	31	36	38	36	13
199990	862	770	874	868	1162	595
112268219	127	107	159	113	163	89
105378593	8	6	8	4	15	2
6497	2362	1974	2673	2375	2885	1569
79906	152	130	186	140	195	105
100129534	49	32	42	27	49	18
11079	1903	1450	1936	1687	1937	1145
5192	563	399	495	513	598	364
9651	54	50	53	54	70	32
55229	585	480	644	599	730	425
388585	7	4	2	3	6	1
115110	220	182	241	231	307	129
8764	1055	790	1144	951	1434	687
100996583	12	4	9	10	11	10
127281	865	711	880	819	1055	615
79258	105	96	135	121	148	76
105378597	2	0	2	1	0	1
100287898	36	19	26	26	37	12
105378603	0	0	0	0	0	0
105378602	1	0	0	0	0	0
105378601	1	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	2	0	1	0	0	0
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	53	46	45	37	61	27
63976	431	335	525	351	450	235
100422968	0	0	0	0	0	1
105378606	9	8	10	3	11	4
107984909	5	6	6	5	5	3
105378605	4	0	3	1	5	1
105378604	32	29	50	25	52	14
27237	36	29	45	42	39	21
1953	2086	1611	2389	1825	2784	1211
105378608	11	5	13	10	18	3
693135	0	0	1	0	2	0
105378607	1	8	6	5	8	1
127262	575	483	599	554	685	447
49856	392	305	382	352	431	239
7161	254	182	283	42	54	27
105378610	2	1	5	0	5	1
105378609	2	2	2	0	2	0
57212	915	682	948	916	1176	538
148870	8	6	7	11	3	2
388588	76	56	90	63	79	56
57470	1560	1302	1692	1542	1903	1110
9731	791	623	824	687	887	513
1677	370	265	347	309	436	217
107984910	8	5	9	3	8	1
339448	867	686	928	823	978	567
100133612	9	8	15	15	22	10
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	0	0	0	0	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	19	15	12	16	24	8
55966	1	1	4	0	1	1
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	1	0	0	0	0
261734	450	357	531	412	545	277
8514	7602	6255	7977	7603	9503	5501
26038	140	89	123	137	158	80
105376687	0	0	0	0	2	0
6146	12232	10108	12718	11881	13857	8591
107985733	58	44	57	55	42	29
102724450	0	3	0	1	3	2
388591	35	17	29	28	42	28
23463	2193	1809	2171	2262	2429	1553
148645	9	5	8	3	4	4
390992	0	0	0	0	1	0
387509	46	37	70	59	55	48
11332	1022	799	1043	1015	1211	746
54626	0	1	0	1	1	1
83715	28	23	35	38	67	32
100422975	0	0	0	0	0	0
8718	76	42	55	69	83	35
57449	46	41	44	30	50	21
79707	1001	863	1063	952	1140	637
80835	2	1	1	2	1	2
107984912	0	0	0	0	0	0
3104	677	504	722	578	772	466
9903	1219	1057	1280	1081	1334	835
107984913	6	15	6	7	9	3
148479	744	560	778	709	780	431
90326	527	410	558	539	635	389
55735	1435	1204	1610	1511	1771	993
100505887	0	0	0	0	0	0
110841581	27	23	27	34	32	15
23261	831	717	916	840	981	555
105376692	0	0	0	0	0	0
102725193	0	0	1	0	0	0
101928836	0	2	0	0	0	0
105376691	0	0	0	1	0	0
105376689	20	15	17	12	19	12
9341	715	605	769	682	888	519
8863	413	338	483	426	517	245
10911	15	13	8	5	6	4
3604	28	14	26	6	9	5
11315	3994	3174	3872	3613	4155	2754
54206	14	9	7	10	8	4
107984915	0	0	0	0	0	0
102724539	0	0	0	0	0	0
105376695	0	0	0	0	0	0
50651	1	2	4	0	0	0
473	3815	3040	3991	3507	4428	2331
102724552	9	0	3	7	5	2
106632271	2	2	3	3	3	0
2023	36046	28566	37170	36209	41149	26539
102465436	3	2	4	5	2	2
100505975	13	9	7	5	9	10
112268261	1	2	0	0	1	0
765	0	0	0	0	0	0
155184	0	0	0	0	0	0
6518	329	267	322	278	409	217
80045	109	99	111	81	135	49
106614088	223	164	229	101	153	62
407040	3	2	1	3	2	0
102724571	41	27	43	21	20	11
9563	1152	1017	1322	1311	1445	814
80176	53	41	72	37	51	35
100506022	19	13	10	8	22	5
84275	465	393	465	426	493	277
199953	1163	971	1266	1092	1320	789
107985734	61	47	60	51	56	41
105376712	6	6	2	6	5	6
5293	2774	2285	2926	2631	3324	1935
644997	21	15	24	22	37	8
101929074	57	44	61	45	64	30
22883	3849	3191	4241	3891	4812	2789
56998	897	739	1022	871	1070	585
105376717	92	88	91	90	115	57
84328	952	768	1075	870	1095	635
64802	402	292	376	318	371	230
113391335	4	1	4	5	1	1
100847055	0	1	0	0	0	0
116362	0	0	1	0	0	0
10277	2238	1777	2308	2182	2548	1490
23095	1046	827	1184	962	1200	641
105376725	8	8	14	5	13	6
5226	6131	5085	6533	5679	6598	4116
100526739	245	173	234	220	243	144
378708	259	189	242	233	252	159
1325	22	8	21	18	20	9
1676	2378	1980	2441	2236	2689	1486
5195	779	606	811	651	891	508
54897	189	138	188	142	217	117
105376733	0	0	0	0	0	0
105376735	0	0	0	0	0	0
148345	11	5	12	11	15	12
23435	4301	3332	4400	3827	4805	2728
10747	58	38	74	62	94	36
6723	2470	2060	2737	2876	3344	2010
5394	2102	1517	2113	1874	2406	1334
105376736	89	65	82	63	92	54
2475	2748	2113	2904	2677	3236	1858
100873935	59	52	64	55	53	32
10218	8	10	15	10	12	11
29914	919	740	918	886	1014	603
105376737	1	0	0	1	1	0
105376739	0	0	0	0	1	0
105376740	0	0	1	1	0	0
57540	5	11	10	6	4	4
112268221	0	1	1	1	1	1
101929181	0	3	3	0	0	0
26232	2	5	2	3	1	0
93611	292	226	306	236	300	164
26270	138	110	133	118	143	82
10459	1115	871	1117	943	1126	644
374946	31	30	34	17	26	9
57085	545	389	573	526	682	417
284498	351	271	354	302	435	217
102724659	0	0	0	0	0	0
4524	1587	1259	1668	1493	1940	965
1185	1240	949	1337	1098	1406	680
100379251	180	141	194	165	202	97
4878	30	17	15	24	38	20
4879	0	0	0	0	0	0
26829	1	3	0	1	0	0
90231	1509	1279	1629	1535	1981	1096
5351	1030	772	983	1064	1261	703
9927	2554	2082	2658	2300	2933	1669
60672	956	740	959	940	1150	706
102466982	4	1	6	2	3	2
943	345	326	361	393	462	316
102465836	24	21	22	14	31	12
7133	878	779	972	813	971	562
100616438	1	1	3	1	3	0
107984917	0	0	3	2	1	2
55187	1927	1401	1986	1704	2241	1051
677885	2	2	3	3	3	3
105376744	2	1	0	2	2	0
9249	29	24	15	13	28	11
102466722	0	0	0	0	0	0
343066	0	0	0	0	0	0
126767	0	0	0	0	0	0
93190	0	0	0	0	0	1
390999	0	0	0	0	0	0
65121	0	0	0	0	0	0
105376745	0	0	0	0	0	0
440560	0	0	0	0	0	0
343069	1	1	1	1	0	1
65122	0	0	0	0	0	0
400735	0	0	0	0	0	0
343071	0	0	0	0	0	0
441871	0	0	0	0	0	0
440561	0	0	0	0	0	0
101929983	0	0	0	0	0	0
649330	1	0	0	0	0	0
441873	0	0	0	0	0	0
649324	0	0	0	0	0	0
440563	0	1	1	0	0	0
645354	0	0	0	0	0	0
645359	0	0	0	0	0	0
101060301	0	0	1	0	0	0
343070	0	0	0	0	0	0
400736	0	0	0	0	0	0
391003	0	0	0	0	0	0
343068	0	0	0	0	0	0
391002	0	0	0	0	0	0
645382	0	0	0	0	0	0
653619	0	0	0	0	0	0
729528	0	0	0	0	0	0
645414	0	0	0	0	0	0
391004	0	0	0	0	0	0
645425	0	0	0	0	0	0
126755	0	0	0	0	0	0
102724856	0	0	1	0	0	0
107984918	0	0	0	0	0	0
10630	0	1	0	1	0	0
107984919	0	0	0	0	0	0
105378612	0	0	0	0	0	0
105376756	0	0	0	0	0	0
7799	1383	1024	1364	1220	1423	761
23254	153	128	165	185	179	115
107985467	0	0	0	0	1	0
107985468	0	0	0	0	0	0
105376762	0	0	0	0	1	0
105376759	1	0	0	1	0	0
107985469	0	0	0	0	0	0
200197	11	7	8	8	5	4
55092	180	133	164	142	146	103
727684	4	4	7	5	5	2
114827	3	3	2	1	4	0
101927417	1	1	1	0	1	0
101927441	14	19	20	12	26	8
79180	2896	2557	2987	3084	3705	2246
11330	1	0	1	3	2	0
63036	6	3	7	6	1	4
105376767	1	2	1	0	0	0
51032	25	16	29	22	21	3
842	257	203	293	220	270	168
23341	455	338	495	410	565	281
107397391	0	2	0	1	1	1
79814	139	107	118	117	154	87
84301	1743	1409	1890	1521	1901	1108
6248	220	180	257	188	245	138
23207	2347	1846	2518	2247	2952	1574
284723	42	21	44	33	55	36
110806303	3	1	4	2	2	2
388595	0	1	0	0	0	1
54751	3	1	2	0	0	0
440567	84	49	68	89	109	78
729614	282	231	305	307	367	200
23013	5129	4096	5544	4592	5848	3067
7709	1052	838	1177	1026	1258	723
149563	0	0	0	0	0	0
27129	7	4	9	9	4	2
1187	12	7	10	6	11	1
1188	16	8	16	20	22	13
348487	1	1	1	0	1	0
1969	69	61	71	24	36	22
101927479	0	1	0	0	0	1
128272	255	212	298	270	362	189
101927546	27	6	20	20	14	13
79363	141	102	121	116	136	89
54455	699	580	754	620	769	453
26099	3139	2462	3039	2806	3095	1916
374955	1386	1092	1439	1217	1349	871
55707	936	794	975	888	1093	607
107984921	37	21	34	40	57	15
114819	151	113	178	184	269	84
26871	52	21	34	22	40	8
107985757	0	0	0	0	0	0
100132147	9	6	9	8	13	6
107985758	0	1	0	1	0	0
7195	0	0	0	0	0	0
55672	436	329	468	397	561	269
105376794	787	566	916	780	1200	553
84809	520	395	621	465	767	338
11209	29	21	39	18	51	26
107985736	4	3	7	9	9	1
26869	43	19	30	19	35	10
107985759	0	0	0	0	0	0
284729	6	5	10	5	8	3
100189045	0	0	0	0	0	0
6060	44	17	29	21	36	10
11223	15	4	12	10	12	14
100500876	0	0	0	0	0	0
100189298	0	0	0	0	0	0
112267871	7	13	9	13	20	11
7193	1	1	1	1	4	1
100189183	0	0	0	0	0	0
105376805	22	26	27	21	27	15
791226	0	0	0	0	0	0
26870	41	17	27	23	34	8
9696	1339	1157	1440	1449	2051	958
4237	240	203	245	218	270	156
105376806	45	28	40	36	45	25
