GeneID,Symbol,Description,Synonyms,GeneType,EnsemblGeneID,Status,ChrAcc,ChrStart,ChrStop,Orientation,Length,GOFunctionID,GOProcessID,GOComponentID,GOFunction,GOProcess,GOComponent
113219467,MIR12136,microRNA 12136,,ncRNA,,active,NC_000001.11,632615,632685,negative,71,GO:0030533,GO:0006412,,triplet codon-amino acid adaptor activity,translation,
57801,HES4,hes family bHLH transcription factor 4,bHLHb42,protein-coding,ENSG00000188290,active,NC_000001.11,998962,1001052,negative,1920,GO:0000978///GO:0000981///GO:0005515///GO:0046983,GO:0006357///GO:0007399///GO:0009952///GO:0030154,GO:0000785///GO:0005634,"RNA polymerase II cis-regulatory region sequence-specific DNA binding///DNA-binding transcription factor activity, RNA polymerase II-specific///protein binding///protein dimerization activity",regulation of transcription by RNA polymerase II///nervous system development///anterior/posterior pattern specification///cell differentiation,chromatin///nucleus
9636,ISG15,ISG15 ubiquitin like modifier,G1P2|IFI15|IMD38|IP17|UCRP|hUCRP,protein-coding,ENSG00000187608,active,NC_000001.11,1013497,1014540,positive,637,GO:0003735///GO:0005178///GO:0005515///GO:0031386///GO:0031625,GO:0007229///GO:0009615///GO:0016567///GO:0019941///GO:0030501///GO:0031397///GO:0032020///GO:0032461///GO:0032649///GO:0032728///GO:0032729///GO:0032733///GO:0034340///GO:0042742///GO:0045071///GO:0045648///GO:0051607///GO:0060339///GO:0070585,GO:0005576///GO:0005634///GO:0005654///GO:0005737///GO:0005829///GO:0022627,structural constituent of ribosome///integrin binding///protein binding///protein tag///ubiquitin protein ligase binding,integrin-mediated signaling pathway///response to virus///protein ubiquitination///modification-dependent protein catabolic process///positive regulation of bone mineralization///negative regulation of protein ubiquitination///ISG15-protein conjugation///positive regulation of protein oligomerization///regulation of type II interferon production///positive regulation of interferon-beta production///positive regulation of type II interferon production///positive regulation of interleukin-10 production///response to type I interferon///defense response to bacterium///negative regulation of viral genome replication///positive regulation of erythrocyte differentiation///defense response to virus///negative regulation of type I interferon-mediated signaling pathway///protein localization to mitochondrion,extracellular region///nucleus///nucleoplasm///cytoplasm///cytosol///cytosolic small ribosomal subunit
100288175,LOC100288175,uncharacterized LOC100288175,,ncRNA,ENSG00000291156,active,NC_000001.11,1059734,1066453,positive,974,,,,,,
105378948,LOC105378948,uncharacterized LOC105378948,,ncRNA,,active,NC_000001.11,1065635,1068554,negative,2920,,,,,,
102465434,MIR6726,microRNA 6726,hsa-mir-6726,ncRNA,ENSG00000278073,active,NC_000001.11,1296110,1296170,negative,61,,,,,,
109623456,SNORD167,"small nucleolar RNA, C/D box 167",,snoRNA,,active,NC_000001.11,1304729,1304812,negative,84,,,,,,
102724312,LINC01770,long intergenic non-protein coding RNA 1770,,ncRNA,,active,NC_000001.11,1430157,1434573,negative,1194,,,,,,
8510,MMP23B,matrix metallopeptidase 23B,MIFR|MIFR-1|MMP22|MMP23A,protein-coding,ENSG00000189409,active,NC_000001.11,1631681,1635638,positive,2764,GO:0004222///GO:0008237///GO:0008270,GO:0000003///GO:0006508///GO:0030198///GO:0030574,GO:0005615///GO:0005789///GO:0031012///GO:0062023,metalloendopeptidase activity///metallopeptidase activity///zinc ion binding,reproduction///proteolysis///extracellular matrix organization///collagen catabolic process,extracellular space///endoplasmic reticulum membrane///extracellular matrix///collagen-containing extracellular matrix
112268220,LOC112268220,uncharacterized LOC112268220,,ncRNA,,active,NC_000001.11,2763419,2767518,positive,996,,,,,,
105378607,LOC105378607,,,,,discontinued,NC_000001.11,3602895,3607681,positive,990,,,,,,
284661,LINC01777,long intergenic non-protein coding RNA 1777,,ncRNA,ENSG00000235054,active,NC_000001.11,4412051,4424684,positive,2074,,,,,,
107985376,LOC107985376,,,,,discontinued,NC_000001.11,4603688,4617555,positive,557,,,,,,
105376691,LOC105376691,uncharacterized LOC105376691,,ncRNA,,active,NC_000001.11,7503370,7508625,positive,307,,,,,,
155184,SLC2A7,solute carrier family 2 member 7,GLUT-7|GLUT7|hGLUT7,protein-coding,ENSG00000197241,active,NC_000001.11,8992534,9026384,negative,2078,GO:0005353///GO:0005355///GO:0015149///GO:0051119///GO:0055056,GO:0008645///GO:0015749///GO:0015755///GO:1904659,GO:0005886///GO:0016020///GO:0016324,fructose transmembrane transporter activity///glucose transmembrane transporter activity///hexose transmembrane transporter activity///sugar transmembrane transporter activity///D-glucose transmembrane transporter activity,hexose transmembrane transport///monosaccharide transmembrane transport///fructose transmembrane transport///glucose transmembrane transport,plasma membrane///membrane///apical plasma membrane
106614088,MIR34AHG,MIR34A host gene,,ncRNA,ENSG00000228526,active,NC_000001.11,9148011,9182338,negative,4157,,GO:0035195,,,miRNA-mediated gene silencing,
407040,MIR34A,microRNA 34a,MIRN34A|miRNA34A|mir-34|mir-34a,ncRNA,ENSG00000284357,active,NC_000001.11,9151668,9151777,negative,110,GO:0003730///GO:1903231,GO:0006974///GO:0010628///GO:0010629///GO:0010666///GO:0010884///GO:0010942///GO:0016525///GO:0030336///GO:0032682///GO:0033209///GO:0034763///GO:0035195///GO:0035359///GO:0042632///GO:0048678///GO:0050859///GO:0051152///GO:0051726///GO:0051898///GO:0061044///GO:0070328///GO:0071456///GO:0071659///GO:0071672///GO:0071901///GO:0090281///GO:0110058///GO:0110114///GO:1900222///GO:1901985///GO:1902532///GO:1903671///GO:1904046///GO:1904706///GO:1904753///GO:1905205///GO:1905206///GO:1905563///GO:2000774,GO:0070062///GO:1903561,mRNA 3'-UTR binding///mRNA base-pairing translational repressor activity,cellular response to DNA damage stimulus///positive regulation of gene expression///negative regulation of gene expression///positive regulation of cardiac muscle cell apoptotic process///positive regulation of lipid storage///positive regulation of cell death///negative regulation of angiogenesis///negative regulation of cell migration///negative regulation of chemokine production///tumor necrosis factor-mediated signaling pathway///negative regulation of transmembrane transport///miRNA-mediated gene silencing///negative regulation of peroxisome proliferator activated receptor signaling pathway///cholesterol homeostasis///response to axon injury///negative regulation of B cell receptor signaling pathway///positive regulation of smooth muscle cell differentiation///regulation of cell cycle///negative regulation of protein kinase B signaling///negative regulation of vascular wound healing///triglyceride homeostasis///cellular response to hypoxia///negative regulation of IP-10 production///negative regulation of smooth muscle cell chemotaxis///negative regulation of protein serine/threonine kinase activity///negative regulation of calcium ion import///positive regulation of blood vessel endothelial cell differentiation///negative regulation of lipid transporter activity///negative regulation of amyloid-beta clearance///positive regulation of protein acetylation///negative regulation of intracellular signal transduction///negative regulation of sprouting angiogenesis///negative regulation of vascular endothelial growth factor production///negative regulation of vascular associated smooth muscle cell proliferation///negative regulation of vascular associated smooth muscle cell migration///positive regulation of connective tissue replacement///positive regulation of hydrogen peroxide-induced cell death///negative regulation of vascular endothelial cell proliferation///positive regulation of cellular senescence,extracellular exosome///extracellular vesicle
105376737,LOC105376737,uncharacterized LOC105376737,,ncRNA,,active,NC_000001.11,11311439,11316855,negative,1953,,,,,,
105376739,LOC105376739,uncharacterized LOC105376739,,ncRNA,,active,NC_000001.11,11357945,11364461,positive,683,,,,,,
102724659,C1orf167-AS1,C1orf167 antisense RNA 1,,ncRNA,ENSG00000177553,active,NC_000001.11,11777077,11779619,negative,1868,,,,,,
